epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9069,0.56716,1.13835,1.122,0.71834,0.73147,0.77289,0.51939,1.0496,1.33087,1.64589,0.000664062,0.000664062,0.000664062
2,95.8554,0.60395,0.72872,1.12906,0.79811,0.59288,0.67449,0.53628,1.08915,1.25157,1.47708,0.00130438,0.00130438,0.00130438
3,141.873,0.59535,0.63575,1.1251,0.86044,0.79018,0.86933,0.67048,0.83418,0.78406,1.31685,0.0019183,0.0019183,0.0019183
4,187.102,0.57136,0.58923,1.10845,0.86689,0.79018,0.88266,0.73649,0.64909,0.75273,1.2047,0.0018812,0.0018812,0.0018812
5,232.387,0.5144,0.52764,1.07434,0.9124,0.9153,0.9404,0.84343,0.49617,0.48075,1.06775,0.0018416,0.0018416,0.0018416
6,277.578,0.49461,0.49123,1.06472,0.89016,0.91049,0.92465,0.82435,0.5045,0.5202,1.06602,0.001802,0.001802,0.001802
7,323.019,0.46793,0.46965,1.04658,0.92594,0.90255,0.9497,0.84381,0.49869,0.4582,1.0302,0.0017624,0.0017624,0.0017624
8,368.403,0.44836,0.44973,1.0427,0.9108,0.91396,0.94005,0.85689,0.47466,0.44646,1.03705,0.0017228,0.0017228,0.0017228
9,413.421,0.44796,0.44109,1.03477,0.92764,0.93648,0.95649,0.87086,0.45182,0.41437,1.01362,0.0016832,0.0016832,0.0016832
10,458.696,0.42238,0.40664,1.01837,0.95277,0.93195,0.96207,0.89303,0.40835,0.35192,0.96954,0.0016436,0.0016436,0.0016436
11,503.899,0.41643,0.40832,1.02202,0.92366,0.94899,0.9596,0.88004,0.42482,0.37799,0.97295,0.001604,0.001604,0.001604
12,548.95,0.40314,0.39511,1.00907,0.95061,0.90953,0.96269,0.89519,0.39297,0.35834,0.94622,0.0015644,0.0015644,0.0015644
13,594.176,0.39186,0.38871,1.00267,0.96148,0.91295,0.96365,0.89756,0.40029,0.35429,0.94799,0.0015248,0.0015248,0.0015248
14,639.383,0.38892,0.38863,0.99871,0.93774,0.95958,0.95853,0.89492,0.37742,0.3342,0.94689,0.0014852,0.0014852,0.0014852
15,684.512,0.38053,0.37613,0.99864,0.94925,0.93936,0.96491,0.90116,0.3657,0.33735,0.92857,0.0014456,0.0014456,0.0014456
16,729.552,0.36944,0.36748,0.99292,0.94542,0.94129,0.95571,0.89486,0.36308,0.34042,0.92169,0.001406,0.001406,0.001406
17,774.707,0.37615,0.35994,0.99451,0.95454,0.93744,0.96349,0.90721,0.3577,0.33771,0.92658,0.0013664,0.0013664,0.0013664
18,819.944,0.36427,0.3594,0.98727,0.95631,0.927,0.96264,0.91073,0.35049,0.32592,0.90694,0.0013268,0.0013268,0.0013268
19,865.184,0.36225,0.35187,0.98361,0.96377,0.94129,0.96418,0.91505,0.31823,0.29048,0.87664,0.0012872,0.0012872,0.0012872
