epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.28,0.96455,2.51591,4.33697,1.33408,0.40058,0.53765,0.41858,0.31199,0.39845,0.53326,0.41191,0.29933,0.77404,1.60936,3.09624,1.16597,0.000271759,0.000271759,0.000271759
2,42.0202,0.77667,1.56662,2.04508,1.1187,0.27213,0.48824,0.30632,0.20308,0.26682,0.48343,0.29335,0.18818,1.03789,2.16614,2.38258,1.36824,0.000538547,0.000538547,0.000538547
3,62.0181,0.81931,1.51504,1.84464,1.12851,0.42967,0.44329,0.38921,0.27556,0.44393,0.36613,0.34977,0.20891,1.04252,4.08965,3.02906,1.47147,0.000794339,0.000794339,0.000794339
4,82.4633,0.84369,1.5942,1.79321,1.15069,0.35549,0.56052,0.46042,0.3261,0.46657,0.47019,0.45255,0.31033,0.94322,2.22697,1.71948,1.32036,0.00078352,0.00078352,0.00078352
5,103.959,0.81695,1.55233,1.715,1.14236,0.4493,0.48409,0.47159,0.32725,0.43969,0.46276,0.4579,0.32186,0.99513,2.12327,1.84763,1.36876,0.000767026,0.000767026,0.000767026
6,126.825,0.79782,1.5027,1.68043,1.12785,0.43316,0.62895,0.52201,0.38088,0.41873,0.60384,0.5033,0.36242,0.80625,1.81727,1.82847,1.19686,0.000750533,0.000750533,0.000750533
7,149.277,0.7969,1.47616,1.58534,1.12446,0.48505,0.60132,0.53089,0.39278,0.48312,0.59587,0.52455,0.395,0.86752,1.60881,1.61232,1.22993,0.00073404,0.00073404,0.00073404
8,170.827,0.76756,1.40578,1.5373,1.11598,0.53278,0.63939,0.59659,0.44814,0.525,0.62696,0.58287,0.42558,0.79321,1.60914,1.37117,1.17011,0.000717546,0.000717546,0.000717546
9,192.571,0.73128,1.28085,1.46902,1.08777,0.498,0.68576,0.60622,0.474,0.49534,0.68002,0.59717,0.45884,0.70567,1.40017,1.30205,1.12295,0.000701053,0.000701053,0.000701053
10,214.753,0.71937,1.30691,1.39836,1.0869,0.54816,0.59934,0.61923,0.47859,0.5809,0.57455,0.60857,0.46961,0.75573,1.56474,1.35589,1.1549,0.000684559,0.000684559,0.000684559
11,237.068,0.72623,1.32121,1.43679,1.08456,0.56738,0.57879,0.59028,0.44929,0.51901,0.59544,0.56901,0.42186,0.75338,1.65771,1.37734,1.15077,0.000668066,0.000668066,0.000668066
12,258.968,0.67593,1.18726,1.36638,1.05792,0.56774,0.66413,0.62545,0.48422,0.56691,0.65922,0.61212,0.47716,0.73562,1.42972,1.26135,1.14275,0.000651573,0.000651573,0.000651573
13,280.937,0.68585,1.22938,1.35916,1.05851,0.5461,0.63016,0.61952,0.49687,0.54506,0.62474,0.61364,0.47184,0.70636,1.4359,1.32397,1.12682,0.000635079,0.000635079,0.000635079
14,303.11,0.66167,1.22698,1.31932,1.05887,0.55509,0.63994,0.64098,0.50379,0.55076,0.63221,0.62856,0.47479,0.72019,1.47774,1.26101,1.12601,0.000618586,0.000618586,0.000618586
